id,StaNo,StName,lon,lat
1,Rach_01,Davis Brook,-73.780,41.078
2,Rach_02,,-73.771,41.071
3,Rach_03,,-73.773,41.054
4,Rach_04,,-73.810,40.987
5,Rach_05,,-73.838,40.940
6,Rach_06,,-73.860,40.901
7,Rach_07,Goldman Stone Mill,-73.876,40.860
8,Rach_08,Bronx Zoo below Twin Dam,-73.874,40.850
9,Rach_09,West Farms,-73.878,40.840
